player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
JJ Kohl,174674,QB,APP STATE,5,69.2,133,142,9.2,2.56,4,8,5.3,57.7,82,0,52,10.9,157,10,53,108,58.8,64.2,64.7,57.0,4,2,166,2,15.4,91.8,5.1,8,7,0,1,8,8,4.8,979,6.9
Dru DeShields,176094,QB,KENT STATE,7,66.7,129,142,10.2,2.77,3,8,5.3,55.6,79,1,63,8.1,164,7,46,201,50.9,67.2,68.5,58.8,2,2,174,5,12.7,100.9,4.9,8,14,1,7,11,5,2.9,1109,7.8
T.J. Finley,124093,QB,GA STATE,5,72.3,130,136,7.3,2.33,1,5,3.4,62.5,85,0,39,9.6,146,9,37,175,74.4,68.2,66.5,64.8,2,4,156,1,20.5,76.7,5.5,8,2,0,3,4,6,3.8,814,6.0
Jackson Brousseau,173480,QB,COLO STATE,6,73.7,114,132,8.9,2.96,3,3,2.1,60.6,80,0,75,4.8,168,4,44,144,61.6,54.3,51.5,61.4,6,3,178,0,20.0,84.9,8.9,15,20,1,8,6,8,4.5,845,6.4
Grayson James,145214,QB,BOSTON COL,5,62.4,117,128,11.7,2.86,2,6,4.5,55.5,71,0,70,2.7,151,2,43,121,64.2,58.5,55.0,64.3,1,5,157,2,18.6,79.8,8.6,13,10,0,8,7,11,7.0,908,7.1
Grayson Loftis,170054,QB,CHARLOTTE,7,62.7,110,127,11.0,2.88,1,9,6.7,49.6,63,0,52,8.7,140,6,35,136,61.7,62.1,64.0,53.2,5,4,149,1,19.2,68.6,7.1,10,3,1,10,5,6,4.0,766,6.0
Chase Jenkins,173242,QB,RICE,9,75.8,120,127,7.6,2.46,1,7,5.3,69.3,88,0,54,3.3,152,3,47,275,41.9,69.9,69.0,63.1,1,2,158,0,18.5,97.0,6.6,10,13,0,5,6,3,1.9,852,6.7
Eli Holstein,172381,QB,PITTSBURGH,6,70.9,110,120,9.8,2.73,5,5,4.0,61.7,74,0,47,5.1,141,4,44,268,62.2,59.3,51.5,74.1,3,6,145,2,19.1,99.9,6.4,9,11,0,2,11,10,6.9,1058,8.8
Josh Holst,171312,QB,N ILLINOIS,6,68.8,109,117,7.0,2.9,0,4,3.3,61.5,72,0,56,4.0,151,3,38,254,62.7,48.6,49.0,52.0,1,3,156,1,14.3,75.4,5.3,8,26,0,7,4,5,3.2,600,5.1
Dexter Williams II,129457,QB,KENNESAW,6,65.3,101,114,10.8,2.76,3,2,1.7,52.6,60,0,45,9.1,126,6,35,200,76.7,62.4,55.1,70.8,3,2,129,1,6.7,78.3,2.4,3,9,1,6,5,5,3.9,684,6.0
Liam Szarka,197814,QB,AIR FORCE,8,71.4,98,109,12.2,2.87,0,9,7.8,62.4,68,0,55,2.9,123,2,56,101,64.2,82.4,74.6,75.1,5,5,129,1,14.5,106.0,6.5,8,6,1,5,8,8,6.2,1219,11.2
Joe Labas,144847,QB,C MICHIGAN,9,78.6,103,109,7.7,2.61,3,5,4.2,71.6,78,0,45,3.7,120,3,44,134,51.4,77.6,76.1,63.5,0,2,131,1,22.2,119.3,8.3,10,1,1,2,8,2,1.5,1066,9.8
Will Hammond,184898,QB,TEXAS TECH,7,73.3,105,109,8.6,2.53,0,6,5.3,62.4,68,0,25,11.7,124,9,34,315,62.2,79.3,70.0,78.1,2,3,129,0,12.0,89.7,2.4,3,11,1,1,7,5,3.9,673,6.2
Blake Horvath,162555,QB,NAVY,8,71.0,100,107,11.5,2.71,0,8,7.3,63.6,68,0,37,4.2,123,3,51,237,52.5,90.3,80.4,82.8,3,5,127,3,5.4,101.9,1.6,2,14,0,4,7,4,3.1,1143,10.7
Lunch Winfield,176367,QB,LA LAFAYET,7,66.3,98,107,13.9,3.04,3,6,5.2,57.0,61,0,50,6.2,134,4,41,207,61.3,65.6,56.8,69.9,3,4,142,1,18.0,90.9,6.7,9,18,2,1,7,6,4.2,902,8.4
Gavin Wimsatt,155757,QB,JVILLE ST,7,71.3,101,107,6.1,2.62,2,2,1.8,57.0,61,0,26,15.3,120,11,35,196,54.3,74.3,68.5,72.5,1,2,125,2,19.2,77.2,4.2,5,8,0,3,3,3,2.4,670,6.3
Carter Jones,198923,QB,NEVADA,5,68.3,104,106,9.0,2.38,1,1,0.9,62.3,66,0,35,7.0,121,5,37,239,55.6,48.6,48.0,55.8,0,6,126,0,17.1,66.2,5.0,6,8,0,1,3,8,6.3,672,6.3
Amari Odom,178686,QB,KENNESAW,6,79.6,103,106,8.6,2.79,0,8,7.0,69.8,74,0,35,9.8,128,8,44,200,40.3,76.0,79.8,59.8,0,1,136,0,14.3,113.1,3.9,5,17,0,3,5,4,2.9,1045,9.9
Tad Hudson,170107,QB,COAST CAR,6,69.5,95,104,7.4,2.7,2,3,2.6,53.8,56,0,48,15.2,124,10,33,141,27.3,57.1,52.8,67.1,1,3,135,2,20.8,62.5,8.1,10,10,0,6,3,9,6.7,447,4.3
Luke Weaver,198494,QB,HAWAII,4,70.1,97,102,7.8,2.56,2,3,2.7,59.8,61,0,27,10.3,122,7,33,180,58.8,53.6,53.2,57.2,1,3,133,0,22.2,80.5,4.9,6,14,0,2,5,6,4.5,600,5.9
Nicco Marchiol,157363,QB,W VIRGINIA,4,73.6,91,98,7.9,2.59,3,4,3.9,67.3,66,0,42,1.5,116,1,31,343,76.6,69.7,68.3,62.1,2,2,120,1,28.6,86.6,10.3,12,6,0,2,2,2,1.7,707,7.2
Conner Harrell,156352,QB,CHARLOTTE,4,75.8,91,96,8.8,2.81,1,2,1.9,66.7,64,0,33,7.2,106,5,36,136,45.5,72.3,73.6,59.8,1,2,115,0,6.1,94.8,1.9,2,8,0,3,4,3,2.6,737,7.7
Jaxon Potter,176687,QB,WASH STATE,3,75.8,91,96,6.2,2.14,1,3,3.0,69.8,67,0,18,2.9,100,2,32,341,73.2,66.7,67.8,53.2,0,3,104,1,0.0,87.3,0.0,0,4,1,3,4,4,3.8,604,6.3
Hunter Simmons,148254,QB,WISCONSIN,5,64.2,81,92,8.7,2.91,4,2,2.1,50.0,46,0,42,11.5,98,6,25,349,24.4,41.6,42.5,45.0,2,5,102,0,9.5,49.6,4.1,4,1,0,5,2,7,6.9,469,5.1
Kirk Francis,173296,QB,TULSA,3,65.9,85,90,8.6,2.23,3,2,2.1,60.0,54,0,15,3.6,92,2,24,320,73.0,65.9,66.0,59.8,0,4,98,1,6.7,67.6,1.1,1,1,0,2,3,2,2.0,495,5.5
Rodney Tisdale Jr.,188754,QB,W KENTUCKY,4,76.7,86,89,8.0,2.71,1,0,0.0,71.9,64,0,15,3.0,103,2,40,346,58.2,69.2,66.1,66.7,0,2,110,0,26.7,107.3,3.9,4,10,1,1,6,4,3.6,688,7.7
Danny O'Neil,184200,QB,WISCONSIN,5,71.8,85,88,7.1,3.11,0,4,4.3,69.3,61,0,51,0.0,115,0,35,349,76.2,52.7,47.2,64.7,1,5,120,1,29.4,85.2,13.0,15,12,0,2,5,6,5.0,635,7.2
Scotty Fox Jr.,199546,QB,W VIRGINIA,6,69.1,81,88,9.8,2.17,2,5,5.5,59.1,52,0,27,7.1,98,4,26,343,40.9,55.8,54.7,57.9,1,2,101,0,25.9,86.5,7.1,7,3,0,4,4,3,3.0,623,7.1
Daniel Beale,197861,QB,LA LAFAYET,5,63.0,81,86,9.3,2.68,4,3,3.0,48.8,42,0,29,17.6,96,9,24,207,53.6,57.5,54.8,64.8,0,4,111,1,17.2,46.2,5.2,5,5,0,1,1,2,1.8,390,4.5
Skyler Locklear,164027,QB,UTEP,5,69.3,75,82,10.1,2.93,1,4,4.7,59.8,49,0,31,5.8,103,3,27,330,62.3,62.0,49.4,74.2,1,4,107,1,19.4,80.3,5.8,6,14,0,5,5,4,3.7,560,6.8
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,3,64.0,75,81,9.4,2.8,1,2,2.4,54.3,44,0,30,8.3,94,4,29,144,52.7,51.9,48.5,65.7,1,2,98,0,20.0,66.3,6.4,6,6,0,4,1,4,4.1,488,6.0
Chubba Purdy,122412,QB,NEVADA,6,66.2,71,80,8.8,3.01,3,2,2.3,51.3,41,0,32,12.8,103,6,27,239,79.7,62.2,52.4,64.0,2,8,111,0,12.5,35.3,3.9,4,19,2,2,1,8,7.2,497,6.2
Caden Creel,170414,QB,JVILLE ST,8,70.7,75,77,5.3,3.23,0,0,0.0,67.5,52,0,39,1.9,108,1,31,196,47.1,54.8,41.8,66.1,0,2,118,2,15.4,89.2,5.6,6,25,0,2,3,3,2.5,530,6.9
Deshawn Purdie,184271,QB,WAKE,6,68.2,66,73,9.4,2.68,2,3,3.8,53.4,39,0,24,13.3,81,6,26,339,25.8,54.9,61.7,37.4,2,2,86,0,16.7,95.9,4.9,4,4,1,2,6,3,3.5,583,8.0
Jeff Sims,122496,QB,ARIZONA ST,4,60.3,68,73,8.0,2.7,3,1,1.3,50.7,37,0,33,9.8,88,4,22,110,38.5,65.5,51.2,74.3,0,1,92,0,18.2,68.2,6.8,6,9,0,2,2,2,2.2,359,4.9
Max Johnson,124099,QB,N CAROLINA,3,73.1,67,72,5.4,2.46,1,1,1.3,63.9,46,0,29,6.1,75,3,21,245,71.7,50.5,49.7,64.1,2,0,81,1,3.4,86.7,1.3,1,2,0,2,2,2,2.5,383,5.3
Cam Fancher,145266,QB,UCF,3,67.7,65,72,8.6,3.4,2,1,1.3,56.9,41,0,29,6.8,91,3,23,323,74.2,63.7,55.7,72.6,0,0,98,1,10.3,68.8,3.3,3,15,0,5,0,2,2.0,332,4.6
Carson Conklin,170765,QB,FRESNO ST,3,62.9,62,69,8.9,2.77,0,0,0.0,50.7,35,0,27,10.3,72,4,12,169,74.7,48.0,48.1,54.9,1,2,76,1,3.7,47.9,1.4,1,2,0,6,0,4,5.3,259,3.8
Ethan Grunkemeyer,183606,QB,PENN STATE,5,71.0,62,68,6.0,2.64,2,1,1.4,61.8,42,0,26,4.5,78,2,25,266,29.2,49.9,50.4,51.6,0,3,80,1,15.4,61.1,5.1,4,6,0,4,1,3,3.8,343,5.0
Sam Jackson V,144682,QB,OKLA STATE,7,64.3,56,66,6.8,3.63,3,2,2.9,51.5,34,0,29,5.6,81,2,17,262,42.4,51.1,47.7,50.5,0,2,85,4,6.9,60.0,2.5,2,13,0,7,1,3,3.5,358,5.4
Alessio Milivojevic,183542,QB,MICH STATE,6,70.3,64,65,10.3,2.94,1,3,4.3,64.6,42,0,32,6.7,80,3,26,223,73.1,74.3,72.7,65.5,0,1,85,1,34.4,108.0,13.8,11,4,0,0,4,2,2.4,592,9.1
Brandon Rose,158503,QB,UMASS,4,75.0,56,62,7.0,2.88,1,1,1.5,58.1,36,0,26,14.3,71,6,15,216,49.2,52.3,55.5,47.8,1,2,74,0,15.4,56.5,5.6,4,5,0,4,0,5,6.8,289,4.7
MJ Morris,157404,QB,COAST CAR,3,68.4,57,61,7.6,2.27,2,2,3.1,59.0,36,0,14,7.7,65,3,17,141,72.6,46.1,43.6,59.3,0,4,68,0,14.3,51.2,3.1,2,2,0,2,1,6,8.8,319,5.2
Brady Davidson,199832,QB,N ILLINOIS,5,51.9,52,60,10.2,2.76,1,0,0.0,45.0,27,0,24,0.0,65,0,8,254,44.6,30.2,29.9,56.3,3,3,70,0,16.7,39.4,6.2,4,1,0,4,1,3,4.3,217,3.6
Goose Crowder,144781,QB,TROY,3,74.1,54,58,7.0,2.63,1,3,5.1,60.3,35,0,13,12.5,69,5,19,318,49.6,68.9,66.6,66.8,0,3,71,1,30.8,80.7,5.8,4,7,0,3,4,3,4.2,374,6.4
Austin Simmons,175891,QB,OLE MISS,4,66.1,56,58,11.5,2.35,0,3,5.0,58.6,34,0,13,8.1,64,3,25,226,50.8,60.5,56.2,65.8,1,4,67,0,7.7,86.9,1.6,1,5,0,1,4,5,7.5,580,10.0
Ryder Burton,175011,QB,UAB,3,77.2,57,58,9.0,3.18,1,3,4.8,72.4,42,0,23,4.5,71,2,25,321,73.6,72.8,72.6,60.5,0,3,77,0,21.7,103.2,7.0,5,7,0,0,5,3,3.9,467,8.1
Ryan Staub,171906,QB,COLORADO,4,66.0,53,57,10.6,2.72,1,5,8.5,52.6,30,1,20,14.3,72,5,17,143,27.1,50.0,51.7,54.6,2,4,76,3,30.0,65.5,8.3,6,9,1,0,3,6,7.9,427,7.5
Christopher Vizzina,170032,QB,CLEMSON,3,72.7,55,56,7.1,2.49,0,2,3.4,64.3,36,0,23,10.0,64,4,17,140,52.1,54.6,59.8,48.1,1,1,66,0,21.7,92.4,7.8,5,3,0,0,3,6,9.1,354,6.3
Samari Collier,144801,QB,COAST CAR,4,57.1,49,54,9.4,2.71,0,1,1.8,46.3,25,0,18,10.7,62,3,15,141,64.8,55.8,37.8,71.2,2,2,66,1,11.1,76.9,3.2,2,6,0,3,4,3,4.5,350,6.5
Zach Calzada,98006,QB,KENTUCKY,2,60.8,51,53,11.4,3.0,0,1,1.7,47.2,25,0,19,19.4,58,6,9,202,73.3,48.6,42.9,67.4,0,1,64,1,10.5,52.0,3.4,2,3,0,2,0,2,3.1,235,4.4
Grant Jordan,151147,QB,UMASS,5,64.0,50,52,9.2,3.22,2,3,5.7,55.8,29,0,26,9.4,64,3,15,216,74.3,69.7,60.4,74.7,0,1,65,0,26.9,63.4,10.9,7,5,0,0,0,1,1.5,285,5.5
Mabrey Mettauer,183668,QB,SM HOUSTON,5,68.0,50,52,4.6,2.96,0,0,0.0,61.5,32,1,23,5.9,73,2,12,281,51.7,49.5,58.1,46.9,0,2,81,3,26.1,70.7,8.2,6,14,0,2,2,2,2.5,256,4.9
Deuce Bailey,198907,QB,MO STATE,2,62.5,40,48,9.5,3.62,3,1,2.0,47.9,23,0,27,8.0,60,2,19,230,25.9,58.9,57.9,59.6,1,0,63,0,14.8,85.0,6.7,4,8,1,3,2,2,3.2,335,7.0
Cale Hellums,170981,QB,ARMY,8,65.9,41,47,13.7,3.29,0,5,9.6,51.1,24,0,32,11.1,74,3,24,114,71.4,76.7,67.6,71.9,0,1,80,0,9.4,83.3,4.1,3,24,1,5,2,3,3.8,376,8.0
Trey Kukuk,198675,QB,LA TECH,4,80.0,40,46,3.8,2.22,3,0,0.0,65.2,30,0,13,6.3,52,2,9,208,77.3,73.7,57.5,71.6,1,2,53,1,30.8,74.8,7.7,4,2,1,1,2,1,1.9,243,5.3
Gunnar Gray,171202,QB,BUFFALO,3,60.5,43,44,9.9,2.2,0,1,2.3,52.3,23,0,10,11.5,44,3,8,126,69.7,50.0,47.8,60.0,1,1,44,0,0.0,60.2,0.0,0,0,0,0,1,2,4.5,174,4.0
Brady Jones,200039,QB,W MICHIGAN,5,56.4,39,43,10.6,2.69,2,1,2.3,44.2,19,0,17,13.6,50,3,9,347,17.1,38.2,35.2,56.8,0,3,51,2,17.6,30.8,6.0,3,3,0,2,1,5,9.8,136,3.2
Lucian Anderson III,173364,QB,BOWL GREEN,3,76.3,38,41,8.0,2.7,1,2,4.3,63.4,26,0,10,10.3,50,3,11,122,54.8,70.7,64.3,69.4,0,3,56,1,40.0,65.6,8.0,4,5,0,2,2,2,3.6,245,6.0
Henry Hesson,145798,QB,MIAMI OH,2,62.9,35,41,12.0,2.37,1,3,7.3,51.2,21,0,10,4.5,43,1,13,221,70.5,64.7,65.8,54.0,0,0,43,0,0.0,103.9,0.0,0,2,3,2,3,1,2.3,342,8.3
Gabarri Johnson,175905,QB,OREGON ST,6,73.2,41,41,5.7,2.6,0,0,0.0,61.0,25,0,17,16.7,48,5,9,265,29.3,57.8,56.6,56.9,0,1,52,0,17.6,76.0,6.3,3,4,0,0,2,1,1.9,167,4.1
Joe Pesansky,149434,QB,FIU,5,60.5,38,39,11.4,3.13,0,2,5.0,59.0,23,0,22,0.0,47,0,14,166,41.9,55.1,52.8,64.0,0,2,50,1,18.2,66.2,8.5,4,4,0,1,1,4,8.0,260,6.7
Max Cutforth,176220,QB,BOISE ST,5,65.7,35,39,9.6,2.67,2,0,0.0,51.3,20,0,11,13.0,43,3,8,120,42.3,43.7,41.0,58.7,1,2,45,0,36.4,50.5,9.3,4,0,0,1,1,3,6.7,173,4.4
Zach Wilcke,156836,QB,CHARLOTTE,3,79.4,34,39,7.5,2.92,1,2,4.8,69.2,27,0,18,0.0,46,0,15,136,72.4,67.2,72.4,52.5,0,1,49,0,16.7,92.0,6.5,3,4,0,4,2,2,4.1,242,6.2
Landon Graves,181155,QB,LA MONROE,6,60.0,35,38,12.8,3.07,0,1,2.4,50.0,19,0,19,9.5,42,2,14,209,72.9,57.2,56.6,59.8,1,2,45,1,0.0,59.6,0.0,0,4,0,2,2,4,8.9,185,4.9
Dewayne Coleman,163179,QB,ARMY,5,74.2,31,37,10.9,3.03,0,3,7.3,51.4,19,0,17,17.4,40,4,11,114,57.1,79.6,77.2,70.6,0,2,44,1,5.9,71.1,2.5,1,2,1,5,2,1,2.3,273,7.4
Ashton Daniels,157259,QB,AUBURN,2,70.0,30,36,9.4,3.46,0,0,0.0,52.8,19,0,20,9.5,49,2,12,115,73.6,61.6,56.7,64.8,1,1,51,1,30.0,55.9,12.2,6,7,0,5,0,1,2.0,185,5.1
Malachi Singleton,172426,QB,PURDUE,6,67.9,28,33,10.0,3.07,0,2,5.7,57.6,19,0,20,0.0,38,0,14,273,77.9,69.8,65.0,67.0,2,2,40,0,10.0,88.3,5.3,2,3,0,3,3,3,7.5,263,8.0
Byrd Ficklin,199457,QB,UTAH,5,63.3,30,32,9.2,2.81,1,2,6.1,59.4,19,0,13,0.0,38,0,16,328,38.9,81.9,74.1,75.4,0,0,39,0,7.7,119.0,2.6,1,5,1,0,3,0,0.0,278,8.7
Noah Gillon,198101,QB,APP STATE,3,60.7,28,32,6.6,2.51,2,0,0.0,40.6,13,0,16,23.5,40,4,4,108,70.4,41.9,42.4,57.2,2,0,41,1,25.0,50.4,10.0,4,4,0,0,0,2,4.9,111,3.5
Walker Howard,157112,QB,LA LAFAYET,4,55.2,29,31,11.4,2.41,0,0,0.0,38.7,12,0,7,25.0,34,4,6,207,71.4,37.1,29.8,66.4,0,3,39,1,14.3,9.7,2.9,1,2,0,2,0,3,7.7,111,3.6
Elijah Brown,183276,QB,STANFORD,3,63.3,30,31,8.9,2.5,0,1,3.0,61.3,19,0,14,0.0,35,0,9,300,69.7,51.1,51.0,56.0,1,0,37,1,21.4,93.2,8.6,3,1,0,0,1,2,5.4,218,7.0
Zion Turner,158636,QB,MARSHALL,2,66.7,30,31,9.6,2.61,1,1,3.1,61.3,19,0,12,5.0,33,1,7,214,43.7,65.0,61.9,66.1,0,1,34,1,8.3,64.3,3.0,1,1,0,0,0,1,2.9,183,5.9
Khalil Wilkins,189946,QB,W VIRGINIA,3,60.7,28,30,13.1,2.82,1,1,2.9,46.7,14,0,15,17.6,39,3,8,343,28.6,51.5,41.0,61.6,0,2,43,1,13.3,49.3,5.1,2,7,0,1,1,3,7.0,180,6.0
Zach Gibson,100201,QB,FAU,4,58.6,29,30,9.1,2.17,1,1,3.1,56.7,17,0,4,0.0,31,0,9,165,68.5,47.1,47.3,57.3,0,2,33,0,0.0,67.1,0.0,0,1,0,0,2,2,6.1,168,5.6
Matt Zollers,198887,QB,MISSOURI,4,84.6,26,30,7.3,2.59,0,0,0.0,66.7,20,0,6,9.1,34,2,11,229,24.3,43.0,53.8,33.8,0,0,37,1,16.7,109.4,2.9,1,3,0,4,2,1,2.7,213,7.1
Angel Flores,164493,QB,C MICHIGAN,8,76.0,25,29,7.0,2.33,1,0,0.0,65.5,19,0,14,0.0,36,0,8,134,64.8,78.9,58.0,76.2,0,0,37,2,14.3,107.7,5.6,2,4,1,2,2,3,8.1,195,6.7
Aaron Philo,183222,QB,GA TECH,1,84.6,26,28,9.4,2.28,0,3,10.0,75.0,21,0,8,4.5,30,1,11,176,29.9,80.0,76.4,69.7,1,1,32,0,12.5,113.7,3.3,1,1,0,1,1,2,6.3,373,13.3
Luke Doty,124230,QB,S CAROLINA,2,67.9,28,28,7.5,2.49,0,0,0.0,64.3,18,0,6,5.3,34,1,11,289,31.9,68.2,69.3,59.2,0,1,35,0,16.7,62.1,2.9,1,5,0,0,0,1,2.9,143,5.1
Brendan Sullivan,145034,QB,TULANE,6,76.0,25,27,9.6,3.62,0,3,9.4,66.7,18,0,16,5.3,37,1,12,319,74.0,61.2,72.1,50.6,1,2,43,0,12.5,82.5,5.4,2,8,0,1,2,2,4.7,201,7.4
Michael Hawkins Jr.,184595,QB,OKLAHOMA,2,65.4,26,27,10.6,2.58,0,0,0.0,55.6,15,0,9,11.8,33,2,11,261,39.7,78.9,69.0,76.9,1,0,34,0,33.3,111.2,9.1,3,3,0,0,3,0,0.0,167,6.2
AJ Bianco,158232,QB,NEVADA,4,65.4,26,26,8.9,2.8,0,1,3.6,57.7,15,0,10,11.8,32,2,7,239,69.1,63.7,61.3,65.7,0,1,34,0,20.0,63.3,6.3,2,4,0,0,1,1,2.9,102,3.9
AJ Hill,198754,QB,MEMPHIS,1,61.9,21,25,9.6,3.22,1,1,3.7,52.0,13,0,7,0.0,25,0,9,218,67.9,51.8,53.7,,0,1,27,1,0.0,71.3,0.0,0,0,0,3,1,2,7.4,175,7.0
Jacob Conover,70963,QB,UTAH ST,3,62.5,24,25,11.8,2.63,0,2,7.7,60.0,15,0,6,0.0,27,0,9,329,69.7,66.1,66.4,58.5,0,0,29,1,16.7,102.3,3.7,1,1,0,1,2,0,0.0,141,5.6
John Alan Richter,156999,QB,TOLEDO,3,80.0,25,25,11.7,2.74,0,1,4.0,68.0,17,0,5,15.0,29,3,13,316,68.2,73.8,78.7,55.8,0,1,30,1,20.0,107.2,3.4,1,3,0,0,3,0,0.0,153,6.1
Daniel Kaelin,183565,QB,VIRGINIA,3,69.6,23,24,9.6,2.73,0,0,0.0,50.0,12,0,5,25.0,25,4,8,335,70.0,75.6,76.9,59.3,0,1,25,0,0.0,74.0,0.0,0,1,0,1,1,0,0.0,194,8.1
Gevani McCoy,147609,QB,TEMPLE,6,86.4,22,23,4.5,2.59,0,1,3.7,82.6,19,0,4,0.0,30,0,13,306,25.6,65.5,84.2,45.1,0,0,34,0,25.0,130.8,3.3,1,5,0,1,2,0,0.0,194,8.4
Michael Johnson Jr.,97796,QB,AKRON,7,65.0,20,23,8.2,2.83,2,0,0.0,52.2,12,0,9,7.7,33,1,6,102,56.5,63.8,64.6,60.6,1,0,35,1,44.4,72.6,12.1,4,6,0,0,1,0,0.0,62,2.7
Cole Gonzales,159939,QB,PITTSBURGH,3,66.7,21,22,8.8,2.29,0,0,0.0,50.0,11,0,9,21.4,24,3,3,268,67.6,54.8,56.4,56.7,1,1,24,0,11.1,62.3,4.2,1,1,0,0,1,2,8.3,118,5.4
Baron May,76359,QB,BOWL GREEN,1,66.7,18,22,9.4,2.51,2,3,12.5,54.5,12,0,10,0.0,27,0,8,122,34.8,64.9,58.0,71.0,2,0,29,1,30.0,89.6,11.1,3,2,0,0,1,1,3.4,142,6.5
Jake Merklinger,184888,QB,TENNESSEE,2,80.0,20,22,11.2,3.17,0,1,4.5,54.5,12,0,8,25.0,26,4,12,307,68.4,82.6,81.9,64.4,1,0,26,0,12.5,111.0,3.8,1,3,0,1,2,0,0.0,175,8.0
Hank Brown,172439,QB,IOWA,3,68.4,19,21,6.1,2.58,0,0,0.0,52.4,11,0,6,15.4,21,2,6,192,26.6,54.2,62.1,42.3,2,1,21,0,0.0,63.0,0.0,0,0,0,0,1,0,0.0,107,5.1
Zeon Chriss-Gremillion,156733,QB,HOUSTON,4,55.0,20,21,9.5,2.72,1,1,4.2,47.6,10,0,13,9.1,25,1,4,182,35.5,53.5,42.2,68.0,0,1,28,0,7.7,59.2,4.0,1,3,0,0,1,3,10.7,108,5.1
Alberto Mendoza,188673,QB,INDIANA,4,81.0,21,21,8.9,2.07,0,0,0.0,71.4,15,0,2,11.8,22,2,11,190,72.1,84.0,70.7,82.3,0,1,22,1,0.0,121.8,0.0,0,1,0,0,4,2,9.1,204,9.7
Darius Curry,191052,QB,COLO STATE,2,80.0,20,21,9.4,3.14,0,0,0.0,66.7,14,0,10,12.5,27,2,9,144,68.0,67.1,67.3,60.4,0,0,28,0,10.0,105.9,3.7,1,5,0,1,1,0,0.0,163,7.8
Julian Lewis,198304,QB,COLORADO,2,72.2,18,21,6.5,3.22,0,1,4.5,52.4,11,0,9,15.4,24,2,5,143,69.5,67.1,65.1,63.1,1,0,25,1,11.1,87.2,4.2,1,2,0,2,1,0,0.0,129,6.1
Evan Bullock,170452,QB,LA TECH,1,60.0,20,20,9.3,2.55,0,2,9.1,50.0,10,0,9,16.7,26,2,6,208,69.7,43.4,38.4,63.2,0,1,28,0,33.3,45.8,11.5,3,2,0,0,0,3,10.7,110,5.5
Michael Merdinger,183334,QB,LIBERTY,4,47.4,19,20,10.7,3.31,1,2,10.0,45.0,9,0,13,0.0,28,0,7,206,70.6,55.1,50.9,61.5,0,0,28,0,30.8,68.3,14.3,4,4,0,0,0,1,3.6,138,6.9
TJ Lateef,199810,QB,NEBRASKA,3,84.2,19,19,6.7,3.29,0,1,5.0,84.2,16,0,3,0.0,27,0,14,238,19.2,56.2,67.4,47.1,0,0,28,0,0.0,136.3,0.0,0,8,0,0,1,1,3.6,261,13.7
Landyn Locke,199937,QB,SM HOUSTON,2,70.6,17,19,6.9,2.8,0,0,0.0,57.9,11,0,7,8.3,21,1,5,281,68.0,43.6,45.2,54.7,0,0,22,0,14.3,91.6,4.8,1,1,0,2,1,1,4.5,108,5.7
CJ Montes,146114,QB,KENT STATE,2,64.7,17,19,5.0,2.83,2,1,5.3,52.6,10,0,9,9.1,26,1,6,201,69.5,58.9,58.6,57.7,0,1,26,0,44.4,72.3,15.4,4,3,0,0,1,0,0.0,140,7.4
Joseph Filardi,199227,QB,SYRACUSE,1,25.0,16,18,11.4,3.5,0,2,10.5,22.2,4,0,9,0.0,24,0,2,304,17.7,38.5,39.8,55.3,0,0,26,1,22.2,39.6,8.3,2,4,0,2,0,1,3.8,39,2.2
Kevin Sperry,198436,QB,FLORIDA ST,3,70.6,17,18,14.6,3.31,0,0,0.0,66.7,12,0,6,0.0,23,0,9,167,68.8,65.4,64.9,60.9,0,0,24,1,33.3,139.6,8.7,2,3,0,1,2,0,0.0,194,10.8
JacQai Long,184703,QB,MARSHALL,5,53.8,13,18,8.5,3.11,0,0,0.0,33.3,6,0,12,14.3,22,1,1,214,22.4,46.2,28.8,70.9,3,0,22,0,33.3,42.4,18.2,4,0,0,2,0,2,9.1,31,1.7
Jaylen Henderson,146054,QB,W VIRGINIA,5,50.0,18,18,9.4,2.53,0,1,5.0,38.9,7,0,13,22.2,24,2,2,343,49.2,53.6,27.2,77.4,0,0,27,0,30.8,47.0,16.7,4,2,0,0,0,3,11.1,50,2.8
Tramell Jones Jr.,200122,QB,FLORIDA,1,77.8,18,18,9.7,2.71,0,0,0.0,66.7,12,0,7,14.3,22,2,9,163,68.1,76.4,82.3,53.8,0,0,23,0,0.0,125.0,0.0,0,4,0,0,2,0,0.0,131,7.3
Mitch Griffis,123386,QB,TEXAS TECH,3,72.2,18,18,8.8,2.29,0,2,8.7,72.2,13,0,6,0.0,23,0,11,315,72.6,77.7,80.9,60.7,0,0,28,0,33.3,148.4,8.7,2,3,0,0,2,0,0.0,212,11.8
