home_team,away_team,start_date_pred,start_date_actual,pred_spread,pred_total,pred_home_points,pred_away_points,pred_home_win_prob,pred_home_ml,pred_away_ml,actual_home_points,actual_away_points,actual_margin,actual_total,spread_error,total_error,brier,closing_spread,closing_total,spread_edge_vs_close,total_edge_vs_close,spread_circa,total_circa
CHARLES SO,S ILLINOIS,2025-10-25T18:00Z,2025-10-25T18:00Z,11.120714209110783,63.383496755283815,37.2521054821973,26.13139127308651,0.756486336111025,-310.65457437982997,310.65457437982997,17.0,16.0,1.0,33.0,10.120714209110783,30.383496755283815,0.05929890450063269,-3.0,46.0,14.120714209110783,17.383496755283815,-3-21,46v20-19
TENN STATE,W ILLINOIS,2025-10-25T18:30Z,2025-10-25T18:30Z,2.623684151983819,54.75372101057288,28.68870258127835,26.065018429294533,0.5651266579598068,-129.95201207517908,129.95201207517908,16.0,17.0,-1.0,33.0,3.623684151983819,21.75372101057288,0.3193681395368204,-3.0,56.0,5.623684151983819,-1.2462789894271182,-3-15,56u-47
HOUCHR,SE LA,2025-10-25T19:00Z,2025-10-25T19:00Z,11.118019191280716,38.872770966580426,24.99539507893057,13.877375887649857,0.7564335552918549,-310.56558558312724,310.56558558312724,14.0,38.0,-24.0,52.0,35.118019191280716,-13.127229033419574,0.5721917235714756,-3.5,51.5,14.618019191280716,-12.627229033419574,-3½-10,51½u-15
ST FRANCIS,ROB MORRIS,2025-10-25T19:00Z,2025-10-25T19:00Z,9.355439409799128,51.68573944355312,30.520589426676125,21.165150016876993,0.7206303044169599,-257.94863072496673,257.94863072496673,14.0,24.0,-10.0,38.0,19.35543940979913,13.685739443553118,0.5193080356440802,,,,,,
MERCER,MAINE,2025-10-25T19:00Z,2025-10-25T19:00Z,8.340516541021763,48.13203115393287,28.236273847477317,19.89575730645555,0.698914929689652,-232.1320445976397,232.1320445976397,62.0,0.0,62.0,62.0,-53.65948345897824,-13.867968846067129,0.09065221956378722,,,,,,
S ILLINOIS,N IOWA,2025-10-25T19:00Z,2025-10-25T19:00Z,1.0271553867277303,54.39780796098864,27.712481673858186,26.685326287130454,0.5255934012091358,-110.78964806744531,110.78964806744531,31.0,17.0,14.0,48.0,-12.972844613272269,6.3978079609886365,0.22506162097631602,-14.5,1.5,15.527155386727731,52.89780796098864,-14½-15,S1½u-21
TENN STATE,LAMAR,2025-10-25T19:00Z,2025-10-25T19:00Z,1.7634805578296318,43.957415616299485,22.86044808706456,21.096967529234927,0.5438815719071737,-119.24130629435705,119.24130629435705,14.0,41.0,-27.0,55.0,28.76348055782963,-11.042584383700515,0.29580716426021814,,,,,,
PRVIEW A&M,ELON,2025-10-25T19:00Z,2025-10-25T19:00Z,3.9950687076632585,41.16352893952825,22.579298823595753,18.584230115932495,0.5985871477483753,-149.12007535153666,149.12007535153666,38.0,0.0,38.0,38.0,-34.00493129233674,3.1635289395282484,0.16113227795278467,,,,,,
BETH COOK,ARKAPB,2025-10-25T19:00Z,2025-10-25T19:00Z,8.313883485148226,66.60054920543561,37.45721634529192,29.143332860143698,0.6983349767370948,-231.49351860009511,231.49351860009511,31.0,14.0,17.0,45.0,-8.686116514851774,21.600549205435613,0.09100178626020915,,,,,,
ALCORN ST,MS VLY ST,2025-10-25T19:00Z,2025-10-25T19:00Z,19.88287861707929,44.22437537453921,32.053626995809246,12.17074837872996,0.893007095684577,-834.641419819698,834.641419819698,32.0,10.0,22.0,42.0,-2.117121382920711,2.224375374539207,0.011447481573849254,49.12,-10.0,-29.23712138292071,54.22437537453921,49120-22,-10-40
E KENTUCKY,TENN STATE,2025-10-25T19:00Z,2025-10-25T19:00Z,10.62848245288421,38.885710553432205,24.75709650315821,14.128614050273995,0.7467444894561077,-294.8581406392292,294.8581406392292,7.0,31.0,-24.0,38.0,34.628482452884214,0.8857105534322045,0.557627332533063,-23.5,58.0,34.128482452884214,-19.114289446567795,-23½-15,58u-35
LNDNWD,GARD-WEBB,2025-10-25T19:00Z,2025-10-25T19:00Z,4.566672080689395,65.57742296758754,35.07204752413847,30.50537544344907,0.6123376595072401,-157.95644702781652,157.95644702781652,20.0,48.0,-28.0,68.0,32.56667208068939,-2.4225770324124625,0.3749574092508047,-1.5,55.0,6.066672080689395,10.577422967587538,-1½-03,55v20-36
N COLORADO,UC DAVIS,2025-10-25T19:00Z,2025-10-25T19:00Z,2.6033296005864877,60.37547010889051,31.4893998547385,28.88607025415201,0.5646258654615564,-129.68750797750934,129.68750797750934,16.0,27.0,-11.0,43.0,13.603329600586488,17.37547010889051,0.31880236794821154,-10.5,57.0,13.103329600586488,3.375470108890511,-10V+11,57u-32
WEBER ST,E WASHGTON,2025-10-25T19:00Z,2025-10-25T19:00Z,0.7142274331151848,55.32595262331496,28.020090028215073,27.30586259509989,0.5178025574537048,-107.38392860803928,107.38392860803928,20.0,23.0,-3.0,43.0,3.7142274331151848,12.325952623314961,0.2681194885055973,-3.0,8.0,3.7142274331151848,47.32595262331496,-3+06,s8v2u-35
HOWARD,MORGAN ST,2025-10-25T19:30Z,2025-10-25T19:30Z,11.351345486618674,40.771523253283256,26.06143436995097,14.71008888333229,0.7609801859040711,-318.37535678052916,318.37535678052916,33.0,27.0,6.0,60.0,5.3513454866186745,-19.228476746716744,0.0571304715304524,-1.5,45.5,12.851345486618674,-4.728476746716744,-1½-08,45½u-21
SAMFORD,CHATTNOOGA,2025-10-25T19:30Z,2025-10-25T19:30Z,3.4242860016865295,57.93748739517554,30.680886698431035,27.256600696744503,0.5847334410985026,-140.80918113062006,140.80918113062006,13.0,49.0,-36.0,62.0,39.42428600168653,-4.062512604824462,0.34191319713889595,-10.0,54.5,13.424286001686529,3.4374873951755376,-10Y-11,54½u-20
VILLANOVA,ALBANY,2025-10-25T19:30Z,2025-10-25T19:30Z,10.646680313392052,57.23058481705096,33.9386325652215,23.291952251829457,0.7471082588153881,-295.4261200131468,295.4261200131468,29.0,16.0,13.0,45.0,-2.353319686607948,12.23058481705096,0.06395423275938472,-30.5,52.5,41.146680313392054,4.730584817050961,-30½-22,52½u-42
TENN STATE,WOFFORD,2025-10-25T19:30Z,2025-10-25T19:30Z,2.80105175478341,42.27100461581743,22.53602818530042,19.734976430517012,0.5694860088984387,-132.28048813031324,132.28048813031324,14.0,10.0,4.0,24.0,-1.1989482452165898,18.271004615817432,0.1853422965341952,-8.5,48.5,11.30105175478341,-6.228995384182568,-8½-15,48½u-15
ALAB A&M,ALABAMA ST,2025-10-25T19:30Z,2025-10-25T19:30Z,11.248913436169918,68.38693330819504,39.81792337218248,28.569009936012563,0.7589899139312708,-314.9203945410104,314.9203945410104,13.0,56.0,-43.0,69.0,54.248913436169914,-0.6130666918049599,0.5760656894493978,-11.0,61.5,22.248913436169918,6.88693330819504,-11z-29,61½u-20
STNY BROOK,TOWSON,2025-10-25T19:30Z,2025-10-25T19:30Z,14.265972127068736,52.026931862674,33.14645199487137,18.88047986780263,0.8137025501919811,-436.77600043935576,436.77600043935576,27.0,19.0,8.0,46.0,6.265972127068736,6.026931862673997,0.03470673980497131,-3.0,52.5,17.265972127068736,-0.4730681373260026,-3-15,52½u-15
IDAHO,PORTLAND,2025-10-25T20:00Z,2025-10-25T20:00Z,14.15187525437652,58.42398811303394,36.28793168370523,22.13605642932871,0.8117847153212593,-431.3064779552157,431.3064779552157,45.0,6.0,39.0,51.0,-24.84812474562348,7.423988113033943,0.03542499338669941,-23.5,60.5,37.65187525437652,-2.0760118869660573,-23½-22,60½u-20
AUSTINPEAY,N ALABAMA,2025-10-25T20:00Z,2025-10-25T20:00Z,5.374952297610301,54.346647975113825,29.860800136362062,24.485847838751763,0.6315398769540894,-171.39978995105497,171.39978995105497,56.0,28.0,28.0,84.0,-22.6250477023897,-29.653352024886175,0.13576286227500756,-18.5,56.0,23.8749522976103,-1.6533520248861748,-18½-15,560-19
N DAKOTA,INDIANA ST,2025-10-25T20:00Z,2025-10-25T20:00Z,6.944691294236042,59.39405365135254,33.169372472794294,26.22468117855825,0.6678714667649892,-201.08825347216103,201.08825347216103,46.0,17.0,29.0,63.0,-22.055308705763956,-3.605946348647457,0.11030936258883967,-30.5,55.5,37.444691294236044,3.894053651352543,-30½ ev,55½0-30
NICHOLLS,MCNEESE,2025-10-25T20:00Z,2025-10-25T20:00Z,10.16878530937841,47.71467096497439,28.9417281371764,18.77294282779799,0.7374648168960942,-280.90132841517914,280.90132841517914,31.0,7.0,24.0,38.0,-13.83121469062159,9.714670964974388,0.06892472236740134,-6.5,48.5,16.66878530937841,-0.7853290350256117,-6½-16,48½u-18
SOUTHERN U,FL A&M,2025-10-25T21:00Z,2025-10-25T21:00Z,4.587093809748508,58.5558368146099,31.571465312179203,26.984371502430697,0.6128264400793533,-158.28209968804566,158.28209968804566,35.0,43.0,-8.0,78.0,12.587093809748508,-19.444163185390103,0.3755562456603332,-3.0,51.5,7.587093809748508,7.055836814609897,-3-15,51½u-69
IDAHO ST,N ARIZONA,2025-10-25T22:00Z,2025-10-25T22:00Z,4.591579602221012,69.82867948268202,37.21012954245152,32.6185499402305,0.6129337806253556,-158.35372604089028,158.35372604089028,18.0,31.0,-13.0,49.0,17.59157960222101,20.82867948268202,0.3756878194316916,3.0,63.0,1.591579602221012,6.82867948268202,3-03,63u-23
GRAMBLING,JACKSON ST,2025-10-25T22:00Z,2025-10-25T22:00Z,-8.274840584253873,56.00994740013401,23.86755340794007,32.142393992193945,0.3025161157955384,230.5609016465986,-230.5609016465986,26.0,24.0,2.0,50.0,-10.274840584253873,6.00994740013401,0.4864837687249428,55.5,22.1,-63.77484058425387,33.90994740013401,55½,221-10
East Texas A&M,STF AUSTIN,2025-10-25T23:00Z,2025-10-25T23:00Z,17.31666865765058,43.58090450990284,30.44878658377671,13.132117926126128,0.8604385537936118,-616.5302647560459,616.5302647560459,21.0,31.0,-10.0,52.0,27.31666865765058,-8.419095490097163,0.7403545048544422,-15.5,62.2,32.81666865765058,-18.619095490097166,-15½+15,622u-58
CAL POLY,MONTANA ST,2025-10-26T00:00Z,2025-10-26T00:00Z,-4.280352746044724,55.55781915792298,25.63873320593913,29.919085951983853,0.3945336208958776,153.46382336929216,-153.46382336929216,17.0,34.0,-17.0,51.0,12.719647253955277,4.557819157922978,0.1556567780172121,-21.2,55.5,16.919647253955276,0.05781915792297809,-212-15,55½u-15
UTAHTC,SOUTHERN U,2025-10-26T00:00Z,2025-10-26T00:00Z,9.928352821167154,54.52091319316896,32.22463300716806,22.2962801860009,0.7325429296367763,-273.8917795823966,273.8917795823966,7.0,28.0,-21.0,35.0,30.928352821167152,19.52091319316896,0.536619143760831,-6.5,58.5,16.428352821167152,-3.9790868068310417,-6½-15,58½u-20
TXGV,INCAR WORD,2025-10-26T00:00Z,2025-10-26T00:00Z,5.296041035180888,46.433095961905856,25.86456849854337,20.56852746336249,0.6296787258483274,-170.03579588852617,170.03579588852617,56.0,28.0,28.0,84.0,-22.703958964819112,-37.566904038094144,0.13713784608931825,-3.5,54.0,8.796041035180888,-7.566904038094144,-3½-71,54v2u-20
TXGV,INCAR WORD,2025-10-26T00:00Z,2025-10-26T00:00Z,5.296041035180888,46.433095961905856,25.86456849854337,20.56852746336249,0.6296787258483274,-170.03579588852617,170.03579588852617,56.0,28.0,28.0,84.0,-22.703958964819112,-37.566904038094144,0.13713784608931825,-3.5,54.5,8.796041035180888,-8.066904038094144,-3½-15,54½u-20
S DAK ST,N DAK ST,2025-10-26T00:00Z,2025-10-26T00:00Z,-1.7203847128913212,50.98729908912906,24.633457188118868,26.353841901010192,0.4571866255503218,118.72905813819166,-118.72905813819165,7.0,38.0,-31.0,45.0,29.27961528710868,5.98729908912906,0.20901961058209015,,,,,,
